Group,LENGTH,WIDTH,TRILENGTH,TRIWIDTH,PTDLENGTH,HTHPD,HTMTD,HTPAD,HTMCC
2,1.05,0.57,0.83,0.52,0.4,0.33,0.68,0.69,0.34
2,0.86,0.35,0.73,0.32,0.41,0.26,0.46,0.42,0.23
2,1.01,0.52,0.83,0.47,0.4,0.34,0.64,0.63,0.29
2,0.97,0.41,0.82,0.37,0.42,0.26,0.5,0.44,0.21
2,1.14,0.62,0.94,0.56,0.49,0.41,0.71,0.69,0.35
2,1.01,0.44,0.82,0.37,0.37,0.29,0.59,0.51,0.25
2,0.97,0.49,0.83,0.45,0.42,0.32,0.65,0.59,0.23
2,0.88,0.43,0.75,0.42,0.37,0.27,0.54,0.51,0.22
2,0.96,0.35,0.83,0.33,0.43,0.29,0.46,0.43,0.22
2,0.97,0.45,0.85,0.41,0.44,0.34,0.57,0.54,0.26
2,1.13,0.62,0.94,0.57,0.5,0.38,0.68,0.69,0.31
2,0.89,0.39,0.78,0.35,0.42,0.27,0.46,0.45,0.26
2,0.8,0.31,0.68,0.28,0.42,0.22,0.41,0.32,0.16
2,0.98,0.43,0.83,0.39,0.46,0.3,0.54,0.5,0.24
2,0.89,0.33,0.71,0.3,0.45,0.23,0.42,0.37,0.21
2,0.9,0.36,0.75,0.33,0.41,0.28,0.49,0.46,0.24
2,0.95,0.48,0.76,0.44,0.38,0.31,0.58,0.6,0.3
2,0.94,0.35,0.8,0.3,0.44,0.26,0.45,0.41,0.27
2,1.02,0.46,0.88,0.4,0.5,0.29,0.56,0.51,0.26
2,1.12,0.6,0.92,0.55,0.49,0.37,0.71,0.78,0.35
2,0.87,0.3,0.73,0.27,0.42,0.23,0.41,0.39,0.23
2,1.06,0.53,0.88,0.46,0.44,0.37,0.68,0.65,0.33
2,0.81,0.31,0.69,0.26,0.41,0.19,0.37,0.37,0.17
2,0.97,0.45,0.75,0.41,0.37,0.31,0.59,0.54,0.25
2,0.57,0.3,0.52,0.26,0.28,0.15,0.26,0.28,0.14
2,0.92,0.34,0.78,0.31,0.45,0.24,0.47,0.42,0.23
2,0.72,0.23,0.62,0.2,0.34,0.18,0.36,0.33,0.18
2,0.93,0.44,0.81,0.38,0.42,0.26,0.46,0.44,0.23
2,0.82,0.27,0.69,0.25,0.34,0.2,0.41,0.38,0.2
2,0.93,0.36,0.77,0.33,0.44,0.3,0.52,0.47,0.27
2,1.01,0.59,0.87,0.53,0.47,0.4,0.71,0.74,0.39
2,1.06,0.52,0.86,0.47,0.45,0.31,0.57,0.51,0.27
2,0.98,0.53,0.79,0.47,0.37,0.35,0.62,0.63,0.31
2,0.97,0.36,0.78,0.3,0.43,0.27,0.44,0.44,0.23
2,0.78,0.26,0.63,0.23,0.36,0.21,0.39,0.35,0.22
2,0.87,0.35,0.75,0.32,0.42,0.21,0.43,0.36,0.23
2,0.9,0.32,0.73,0.28,0.4,0.22,0.42,0.34,0.22
2,1.03,0.51,0.84,0.46,0.41,0.43,0.67,0.67,0.36
2,0.95,0.36,0.77,0.33,0.43,0.27,0.5,0.45,0.21
2,0.99,0.42,0.82,0.38,0.43,0.3,0.52,0.49,0.26
2,0.9,0.39,0.75,0.35,0.43,0.29,0.53,0.5,0.26
2,0.91,0.4,0.75,0.35,0.42,0.31,0.52,0.47,0.23
2,0.91,0.37,0.76,0.32,0.47,0.27,0.4,0.4,0.21
2,0.9,0.51,0.77,0.47,0.36,0.26,0.56,0.54,0.26
2,0.92,0.45,0.75,0.42,0.36,0.33,0.62,0.59,0.24
2,0.86,0.38,0.72,0.35,0.39,0.27,0.49,0.45,0.22
2,0.93,0.48,0.75,0.45,0.42,0.32,0.62,0.61,0.31
2,1.07,0.51,0.87,0.47,0.41,0.32,0.61,0.57,0.27
2,0.9,0.4,0.76,0.36,0.43,0.27,0.51,0.48,0.22
2,0.96,0.5,0.76,0.46,0.42,0.35,0.64,0.65,0.39
2,1.2,0.6,0.93,0.55,0.45,0.39,0.74,0.71,0.34
2,0.97,0.47,0.81,0.41,0.43,0.31,0.63,0.55,0.27
2,1.11,0.67,0.92,0.6,0.43,0.41,0.73,0.67,0.37
2,0.92,0.4,0.8,0.36,0.44,0.25,0.5,0.44,0.19
2,0.96,0.52,0.79,0.47,0.39,0.38,0.63,0.65,0.38
2,0.98,0.48,0.79,0.45,0.39,0.36,0.62,0.65,0.33
2,1.15,0.5,0.9,0.46,0.45,0.4,0.65,0.57,0.29
2,0.92,0.4,0.8,0.35,0.43,0.26,0.53,0.46,0.22
2,1.01,0.51,0.85,0.46,0.4,0.32,0.66,0.67,0.3
2,0.98,0.51,0.77,0.44,0.4,0.33,0.59,0.59,0.31
2,0.84,0.36,0.7,0.32,0.41,0.27,0.48,0.44,0.2
2,1.19,0.66,0.98,0.57,0.48,0.37,0.77,0.75,0.37
2,0.82,0.37,0.71,0.34,0.41,0.29,0.52,0.5,0.24
2,0.99,0.34,0.82,0.32,0.44,0.25,0.48,0.44,0.25
2,0.94,0.41,0.78,0.36,0.44,0.33,0.57,0.51,0.28
2,0.81,0.27,0.67,0.24,0.38,0.26,0.39,0.36,0.22
2,0.77,0.24,0.6,0.22,0.38,0.21,0.39,0.35,0.21
2,0.95,0.42,0.79,0.38,0.42,0.28,0.52,0.49,0.23
2,0.85,0.35,0.72,0.31,0.41,0.23,0.48,0.46,0.23
2,1,0.43,0.82,0.39,0.44,0.3,0.53,0.51,0.24
2,0.92,0.35,0.75,0.31,0.45,0.29,0.45,0.42,0.24
2,1.22,0.62,1,0.54,0.47,0.39,0.75,0.75,0.35
2,0.91,0.48,0.82,0.44,0.44,0.31,0.58,0.56,0.27
2,0.92,0.33,0.77,0.29,0.43,0.26,0.44,0.41,0.21
2,0.99,0.54,0.8,0.49,0.34,0.32,0.61,0.59,0.26
2,0.8,0.35,0.66,0.31,0.35,0.26,0.48,0.41,0.17
2,0.82,0.31,0.7,0.28,0.39,0.26,0.43,0.37,0.21
2,1.07,0.51,0.87,0.45,0.42,0.4,0.77,0.75,0.33
2,0.95,0.39,0.8,0.36,0.46,0.34,0.52,0.53,0.24
2,0.83,0.41,0.66,0.37,0.31,0.33,0.57,0.54,0.3
2,0.99,0.41,0.86,0.37,0.46,0.27,0.51,0.5,0.26
2,0.78,0.29,0.62,0.28,0.4,0.27,0.38,0.37,0.19
2,1.01,0.39,0.82,0.36,0.45,0.32,0.56,0.55,0.3
2,1.15,0.65,0.94,0.59,0.48,0.4,0.73,0.71,0.4
2,0.81,0.32,0.66,0.3,0.39,0.25,0.45,0.39,0.2
2,0.91,0.48,0.76,0.41,0.39,0.31,0.57,0.62,0.28
2,0.98,0.5,0.82,0.44,0.38,0.28,0.56,0.56,0.27
2,0.89,0.37,0.79,0.32,0.43,0.25,0.48,0.46,0.25
2,0.97,0.43,0.84,0.38,0.47,0.32,0.59,0.51,0.27
2,0.95,0.51,0.77,0.46,0.39,0.32,0.63,0.64,0.3
2,0.95,0.54,0.77,0.47,0.36,0.35,0.66,0.68,0.34
2,0.95,0.36,0.79,0.34,0.42,0.28,0.48,0.43,0.22
2,0.9,0.44,0.76,0.4,0.38,0.34,0.62,0.59,0.26
2,1.02,0.54,0.85,0.51,0.44,0.38,0.7,0.69,0.35
2,1.06,0.57,0.84,0.48,0.4,0.35,0.67,0.65,0.3
2,1.09,0.57,0.87,0.49,0.4,0.4,0.75,0.68,0.33
2,0.97,0.56,0.8,0.49,0.35,0.36,0.65,0.69,0.3
2,0.93,0.42,0.78,0.39,0.46,0.27,0.51,0.48,0.24
2,1.09,0.62,0.95,0.51,0.35,0.44,0.74,0.74,0.4
2,1.1,0.65,0.94,0.59,0.45,0.38,0.79,0.74,0.35
2,1.04,0.48,0.84,0.42,0.48,0.35,0.66,0.62,0.29
2,0.78,0.34,0.64,0.29,0.35,0.27,0.48,0.48,0.25
2,0.95,0.44,0.79,0.37,0.43,0.25,0.54,0.49,0.22
2,0.71,0.4,0.62,0.36,0.3,0.26,0.41,0.48,0.26
2,0.69,0.37,0.6,0.34,0.26,0.26,0.42,0.47,0.23
2,0.73,0.37,0.61,0.33,0.32,0.27,0.44,0.45,0.22
2,0.92,0.38,0.76,0.37,0.39,0.3,0.54,0.5,0.26
2,1.06,0.47,0.93,0.43,0.47,0.27,0.57,0.59,0.28
2,0.93,0.48,0.8,0.44,0.4,0.35,0.67,0.69,0.28
2,1.03,0.57,0.88,0.51,0.48,0.32,0.61,0.63,0.27
2,1.04,0.53,0.91,0.46,0.37,0.42,0.7,0.68,0.38
2,0.93,0.45,0.73,0.41,0.33,0.3,0.63,0.62,0.26
2,0.83,0.28,0.66,0.25,0.39,0.27,0.42,0.36,0.23
2,1.15,0.47,0.89,0.4,0.44,0.32,0.6,0.57,0.28
2,0.9,0.53,0.65,0.46,0.37,0.43,0.68,0.71,0.42
2,1.11,0.53,0.82,0.48,0.33,0.41,0.74,0.67,0.3
2,0.91,0.51,0.76,0.45,0.35,0.27,0.53,0.53,0.24
2,0.99,0.53,0.77,0.47,0.37,0.33,0.55,0.53,0.27
2,1.13,0.65,0.92,0.55,0.51,0.38,0.74,0.72,0.34
2,0.94,0.42,0.81,0.36,0.45,0.29,0.52,0.49,0.25
2,1.08,0.56,0.88,0.51,0.39,0.42,0.75,0.71,0.39
2,0.93,0.57,0.68,0.52,0.4,0.39,0.69,0.7,0.38
2,0.9,0.41,0.81,0.36,0.46,0.24,0.43,0.41,0.21
2,1.21,0.68,0.97,0.61,0.45,0.45,0.76,0.7,0.41
2,0.76,0.25,0.61,0.22,0.34,0.24,0.41,0.35,0.18
2,0.77,0.26,0.61,0.25,0.36,0.21,0.37,0.33,0.19
2,0.88,0.34,0.73,0.32,0.4,0.24,0.44,0.37,0.19
2,0.8,0.35,0.78,0.31,0.39,0.27,0.39,0.39,0.23
2,0.97,0.49,0.79,0.45,0.32,0.3,0.63,0.63,0.3
4,1.05,0.57,0.84,0.51,0.47,0.33,0.56,0.59,0.32
4,0.87,0.51,0.68,0.48,0.35,0.28,0.62,0.66,0.32
4,0.94,0.38,0.78,0.35,0.4,0.22,0.47,0.44,0.21
4,1,0.47,0.82,0.46,0.36,0.3,0.67,0.6,0.27
4,1.2,0.65,0.92,0.62,0.42,0.43,0.8,0.76,0.35
4,1.16,0.61,0.83,0.57,0.38,0.36,0.76,0.71,0.34
4,1.14,0.64,0.84,0.59,0.37,0.4,0.9,0.82,0.46
4,0.99,0.5,0.79,0.47,0.34,0.32,0.64,0.59,0.27
4,0.95,0.58,0.75,0.54,0.35,0.33,0.65,0.64,0.27
4,1.05,0.63,0.77,0.56,0.37,0.44,0.75,0.77,0.41
4,1.08,0.57,0.8,0.54,0.35,0.38,0.75,0.72,0.36
4,1.08,0.51,0.86,0.47,0.41,0.33,0.65,0.59,0.28
4,0.97,0.42,0.79,0.38,0.44,0.26,0.49,0.48,0.23
4,0.96,0.4,0.75,0.37,0.34,0.28,0.53,0.53,0.28
4,1.04,0.51,0.84,0.49,0.41,0.35,0.63,0.61,0.26
4,0.76,0.44,0.55,0.42,0.27,0.32,0.54,0.57,0.35
4,0.84,0.5,0.6,0.46,0.33,0.35,0.56,0.6,0.38
4,0.98,0.57,0.73,0.52,0.38,0.34,0.64,0.66,0.38
4,0.94,0.49,0.77,0.45,0.37,0.33,0.61,0.61,0.28
4,0.81,0.54,0.56,0.46,0.32,0.3,0.62,0.62,0.41
4,0.82,0.55,0.57,0.47,0.27,0.32,0.57,0.65,0.43
4,0.93,0.6,0.75,0.54,0.34,0.35,0.63,0.63,0.26
4,0.98,0.62,0.74,0.57,0.37,0.34,0.69,0.66,0.37
4,1.04,0.53,0.83,0.5,0.41,0.31,0.6,0.57,0.24
4,0.93,0.52,0.71,0.49,0.29,0.29,0.67,0.64,0.28
4,1.15,0.71,0.93,0.66,0.42,0.39,0.81,0.77,0.33
4,1.12,0.7,0.82,0.65,0.4,0.44,0.84,0.8,0.46
4,1.14,0.71,0.84,0.59,0.42,0.45,0.79,0.75,0.4
4,0.93,0.5,0.7,0.46,0.34,0.3,0.59,0.56,0.28
4,0.98,0.57,0.69,0.52,0.34,0.36,0.61,0.66,0.34
4,1.08,0.66,0.83,0.59,0.38,0.37,0.69,0.69,0.35
4,1.05,0.69,0.78,0.62,0.36,0.47,0.75,0.81,0.52
4,0.89,0.53,0.65,0.53,0.26,0.33,0.61,0.63,0.39
4,1.14,0.71,0.86,0.64,0.37,0.44,0.8,0.75,0.35
4,1.05,0.49,0.83,0.46,0.37,0.32,0.65,0.59,0.3
4,1.05,0.58,0.79,0.54,0.36,0.36,0.71,0.68,0.31
